prune_mutation_chance	hoist_mutation_chance	grow_leaf_mutation_chance	grow_root_mutation_chance	simplify_chance	n	mutation_children	crossover_children	error
0.11529375922451322	0.16708944465114642	0.015079779582216145	0.3154914085228718	0.30964934200136573	50	5	2	0.011788452154955036
0.09817236310962839	0.3584563361412094	0.3119476060148243	0.12511489418762745	0.6481913708420985	20	1	3	0.011844190722674543
0.3130628835819702	0.16794614861983684	0.017443447934970283	0.37958837281993263	0.2572769749796092	80	5	2	0.011878094362820195
0.34713000894793483	0.19346231024685798	0.26982243567144826	0.024588775318467964	0.575575725572674	50	1	3	0.01189062724540237
0.21826456637312128	0.3175441405375476	0.29804494769159584	0.03266709527154464	0.7709506075729639	50	5	1	0.01191948726233273
0.07728279086404505	0.1773400223809802	0.47323849887260155	0.05050390236020526	0.5979521469655237	30	2	5	0.011950963828403983
0.20944675794521592	0.21845370742835876	0.138821985991485	0.1976080886162556	0.6347695032398214	20	2	3	0.012075993426585817
0.021859951854544646	0.2531935762778339	0.31439910656140124	0.018243643670101544	0.6106436383124418	30	3	5	0.012075993426585841
0.27132086007996653	0.13975788266287015	0.1633326890532795	0.1989231455274764	0.043314661299490576	130	3	3	0.012093842802145212
0.10630574845243834	0.30102551822945894	0.3367130716370519	0.22834581432710507	0.6833094479723985	130	3	1	0.01210452552781189
0.17399040992218828	0.0878055141658194	0.154148066716716	0.35754137582847223	0.7907398713938375	50	1	2	0.012120705262264038
0.22553933683458818	0.11170131718809527	0.09982461749988153	0.13869820740015218	0.2511510083752201	80	1	5	0.012137786135973857
0.19207695984151107	0.15392733552148055	0.2792043821907423	0.08752120330994628	0.24553836838758636	80	1	1	0.012198373141904315
0.10768166049616452	0.4570747647580413	0.06000515811914827	0.3347767755444096	0.24744098492908506	130	2	5	0.012210645327979478
0.22552460089797932	0.3554837244697223	0.08852768672485242	0.26435152062866135	0.47073747617941075	50	2	2	0.012293505196145133
0.23450003839207206	0.27182797620728316	0.18024616550610076	0.17713816121693368	0.996816937097899	50	2	3	0.012335566801396972
0.20066092902475813	0.13266487487001913	0.012006881549829077	0.3003588595320988	0.29267909464748965	30	3	3	0.012395429760345798
0.2505646850131336	0.20202440614132405	0.07497307261466342	0.46895539200690767	0.5027820800522084	130	1	3	0.012404330600529121
0.31137045696423743	0.2005261360505163	0.11630686502864684	0.24085057001174903	0.1976087385422337	20	1	5	0.012460632438726338
0.030702804698038502	0.6406828541310775	0.06932448865195659	0.19978551417102255	0.039874900457852025	80	3	1	0.012481923076000396
0.15392458729885605	0.3602655158785165	0.015141051808225708	0.11635064256366047	0.7027283239316418	50	2	2	0.012481923076000396
0.18041738102078145	0.08184730878543624	0.1286950155096927	0.3175603535912391	0.4047913222275106	50	2	5	0.012481923076000396
0.24742689946803265	0.11663295038142246	0.2686399600075789	0.20192860588876255	0.019757804882570618	80	2	3	0.012531182233617138
0.2226300183764563	0.18233858621858637	0.2832611804260653	0.04001273298543372	0.024101224838905755	30	1	5	0.01253324875026591
0.2521211930341704	0.29182147071898945	0.052397180348472	0.114297968693078	0.0817919127392549	20	2	1	0.01256661417997484
0.4266306977309212	0.0042849428317710036	0.16841255943240294	0.2361941430185708	0.9758263865450264	20	5	1	0.01257034368134213
0.0011882232169031872	0.021079013885813538	0.26327930338742567	0.3811645889289875	0.17341265278717033	20	3	3	0.012574829951222085
0.3073843149005868	0.24245281903566623	0.1822595404571347	0.03137830976965889	0.35700607313785704	130	3	3	0.012607069563108076
0.22692389563117787	0.25973209142131465	0.12856295731195774	0.18908335934648063	0.013400148768596742	130	1	3	0.01269018277446327
0.3384487508673096	0.19274425044294874	0.081258648071637	0.12681295727662503	0.1628669066303292	130	3	1	0.012709597215842744
0.18213004075078076	0.15376672042404782	0.19656082479063755	0.16574625996417205	0.2847813831029309	50	2	3	0.012723313015710475
0.28768611339599315	0.20081554481363223	0.18028040364044887	0.05901404429658161	0.46330284791543086	30	1	3	0.01275485186372773
0.2782826413580794	0.2809593721624961	0.010359420881149696	0.39650001532207496	0.1556114907674906	50	2	3	0.012783633774197204
0.19876845149350114	0.26065631524497007	0.007388244480552548	0.3107760558861926	0.6520978131925095	130	3	2	0.012806184840793504
0.20373456987748265	0.21494890809574832	0.1592576142962066	0.15436396942651118	0.6251557609835765	130	2	1	0.012807477510153284
0.2654380251933668	0.4583592180123705	0.04745042164572313	0.2024515753528231	0.6497929261044665	30	2	3	0.01280875643912338
0.2001236043666448	0.30517431686537755	0.16680331887256936	0.08678452338316704	0.7056959008758983	80	3	3	0.012821140199391685
0.07549758650480441	0.3157071976336589	0.2906402795554762	0.21928489480674457	0.7926333582002464	130	2	2	0.012861041623609671
0.25660769558100227	0.24949770322154194	0.22248223258124447	0.20131445850626714	0.13983490142131538	80	2	5	0.012901910388980213
0.11895149625293731	0.13747304096899757	0.26152792777500544	0.24211355497433984	0.5198553625098465	130	3	5	0.012949864955702828
0.25535231297897887	0.2528793058186951	0.23981755602731641	0.18329449433825082	0.03812161892472421	30	3	1	0.012967457607327636
0.267064849262906	0.16516913630155097	0.04445688003920787	0.29061469749279206	0.7645831741859669	30	2	2	0.012975988255761638
0.24983002029170612	0.24690500291620648	0.06100893146464298	0.36025762467626804	0.44359480173583576	130	3	3	0.013015847547403364
0.1787087579109361	0.0654701796897126	0.3307098724283496	0.2204695683023117	0.9404242818240754	20	3	2	0.013041329728153
0.33404118449991693	0.2082412627145499	0.30206478117572994	0.0036488445345410478	0.5757414586192589	20	1	1	0.013054087685678988
0.23380991892910916	0.2495579539406339	0.06551159189118659	0.2505173376439798	0.25112722114142905	130	3	3	0.013068470896071068
0.26042746248664644	0.09525007106127116	0.12168373299034732	0.2650027379506577	0.3905290395245503	80	5	1	0.013101582779433373
0.0047340410279347175	0.3696793315366504	0.21649050621059138	0.023223188827819655	0.9690824627555722	130	1	2	0.01313113396796296
0.03593476002664404	0.333423910500576	0.23774283165338975	0.08418881054721103	0.594607792619549	50	2	1	0.013138536495617617
0.24671616246043082	0.10782857039841205	0.4139578923787121	0.16197616334315046	0.40159101448507484	50	1	2	0.01315672919972958
0.23791496968021572	0.324869456709189	0.2682498649720166	0.10094746662903525	0.38754371239015295	80	2	1	0.013255739496801528
0.026237696544021603	0.13695912554664305	0.268915358312131	0.28755956628344514	0.6334303673029661	130	1	2	0.01334302399124402
0.20602919863117786	0.048883296044605465	0.27203362647702134	0.41186816385372393	0.27595072372581875	50	2	3	0.013365504541637619
0.32836373601206287	0.2888676643537416	0.10040058375171099	0.08319170573031191	0.5163631135363904	20	3	3	0.013366799519350872
0.08174102929741767	0.1979383103778887	0.27663430906974373	0.13699649563262734	0.6934016750172443	130	3	5	0.013380538378545167
0.20954098077152405	0.26568634297234883	0.00494267284394701	0.27776188511912103	0.05668495560658604	50	1	2	0.013384697017743632
0.263446388810202	0.21749244170316795	0.04513361702954551	0.36924868132409516	0.12678895820763592	50	5	2	0.013389566491135815
0.06772888543809268	0.26007997086371537	0.2589650144817297	0.26604966616496845	0.784073580899053	130	1	5	0.013406398604554354
0.21940175691854924	0.09232062300302443	0.23007198697278886	0.0014893325026383104	0.3454223009015811	20	2	3	0.01340857459555034
0.16747437137925125	0.09503404293427173	0.0022497690070323916	0.5355394387596303	0.20769963716062256	130	5	1	0.013422901111701347
0.028849138812844052	0.2335232327399535	0.3887510989722615	0.1351504661665209	0.37434043218889557	130	2	3	0.013453207537899208
0.236109048275525	0.05083700246654962	0.34735034095747325	0.07893586265435786	0.3321639009306121	130	2	3	0.013465475592732206
0.1744884274357237	0.0917535497945404	0.24868465204876877	0.2677945086486175	0.021936739670946226	30	3	2	0.01346786759539635
0.1373539541449163	0.33639453696351634	0.14677997063713294	0.0763699076706551	0.7587840933063348	20	2	5	0.01348417846344956
0.002900554515711817	0.34386460215227954	0.4194815170438822	0.0659244584300391	0.9814059789517857	30	5	1	0.013501006274827872
0.126146460274826	0.17504094541299606	0.2604445724007479	0.13920874935962316	0.9195584567416488	20	3	1	0.013525869763183157
0.09878446728243358	0.29119813665750305	0.044147272692795246	0.22991904955642872	0.9125181931715232	20	2	5	0.013547767959550174
0.008921654686383495	0.206399436496693	0.15528199771585346	0.19359315758921275	0.405544085670279	30	2	2	0.013578634882573885
0.43338263570827296	0.23831793163777157	0.013112269245487536	0.19379016240401328	0.24187885303935475	50	5	3	0.013604800864486944
0.18341724886874172	0.02865871973123635	0.1646210960475958	0.3175670811342272	0.5129138563113126	20	2	3	0.01367328851641762
0.25833025599154874	0.3759712432007676	0.21986460006072722	0.012051384179837043	0.3593995279058261	80	3	5	0.013679715874695283
0.32124352257682653	0.1782038270001762	0.008709475248563615	0.27703615592772063	0.5161305059325823	130	1	3	0.013681545031892357
0.021458644622633062	0.16219882756957535	0.3373994226780148	0.3485394196890769	0.9686747255888238	80	2	5	0.013697031747674372
0.007756451080396414	0.3080488789141072	0.18239177997781994	0.46265536867655327	0.8250377114115495	20	3	5	0.013718356147869615
0.11550425422427577	0.2838296922587194	0.185205630752895	0.23725545092856956	0.9589567892102203	130	5	1	0.01372846513561889
0.21465499336384627	0.2845967038123852	0.11398880821716804	0.2298746810312451	0.7631699851356877	80	5	5	0.01377616582227957
0.2712022322959607	0.189069552578507	0.23164246658101953	0.08684973926591717	0.6354097540434851	80	5	5	0.013781004912792057
0.12419731602112481	0.307873655768878	0.31700288972396207	0.046467388850185296	0.5753214928389865	30	1	5	0.013817750456412621
0.23483136989468872	0.3223520299872576	0.09575474257304363	0.002940731989395051	0.4163618399228892	130	5	1	0.013819142499682939
0.22066923940412816	0.20637230246499927	0.15309841099073282	0.22867936369596947	0.8097670389513107	30	1	2	0.013843237246631076
0.09084438637492293	0.03907616051794438	0.150133255732939	0.1314298130997715	0.49771377445952325	80	5	1	0.013846324852326319
0.014313309274018924	0.10460322235585652	0.1171872837479185	0.3927919681063012	0.8925867446960561	20	1	5	0.013853590279234898
0.24336028592553546	0.2869037913498834	0.062379520225909986	0.34104686902075915	0.6708867302659983	20	2	3	0.013866394851044024
0.2005833938744399	0.14518820383589226	0.29121563508001813	0.18016771603518536	0.025925678678183073	50	1	5	0.013884722845921465
0.268367947635125	0.06280034784852748	0.2319359314347887	0.1284853077940725	0.8776516960277446	20	5	1	0.01392366084057848
0.2638781506787897	0.33057980294976275	0.09675451005634475	0.03563294836921309	0.5450457645963291	30	1	2	0.013985485104664205
0.15058966804646207	0.27764207983836237	0.09858148897488957	0.2051566998655175	0.05032666735654623	30	1	3	0.013988721088500756
0.2866339834550603	0.28767850279439583	0.16637829759125058	0.16269739408440767	0.900767638298111	50	5	5	0.01399984135649545
0.17372945941771534	0.16741292806110453	0.16670908407250357	0.15092385003910963	0.5234067196637687	130	5	2	0.014002883686651032
0.21814586520493215	0.1751024577084717	0.2680645892827129	0.05064778035734203	0.9061277304920569	30	5	1	0.014031280059631052
0.23372955195896034	0.16535944248482173	0.09843728342403603	0.24175896905592129	0.7256248531826248	130	3	2	0.014101925584870527
0.267684142238891	0.2329253266449675	0.016989169928812685	0.42728792599259374	0.15540569479849164	20	2	3	0.014107447949641028
0.23396770687413085	0.057520705238288346	0.3652501361459936	0.16989651558789123	0.626178330749093	50	5	5	0.014107447949641028
0.23890650273419212	0.17676243022027038	0.16422564982951018	0.2947506462261991	0.37888687694569934	20	2	5	0.014117544570912728
0.018607885080637546	0.23976542121321615	0.31058038696322093	0.047282044771745316	0.037176742906889326	30	3	2	0.014233594747999708
0.23210186622651827	0.26950908439935695	0.2586973539943067	0.024908017791271518	0.5939652470533676	30	3	1	0.014233947229313188
0.28349722286408435	0.10787540221647562	0.13993664282922108	0.20355076686164233	0.3220620502848287	50	2	2	0.014241818960608357
0.34619761116021347	0.14812006141236422	0.2129824664646466	0.030459886422872368	0.8504870566103633	130	2	2	0.014248446010574138
0.15690749797383677	0.2398027620356579	0.05279274429106899	0.20476596369741754	0.7432209360683522	20	2	3	0.014251670143011921
0.2407395134799983	0.17536430582621862	0.2957089096376319	0.2487359484666608	0.9234525382688809	80	3	1	0.014280188302439
0.1504479808386679	0.28355682666630017	0.157294020801856	0.0659431957586376	0.4467033687089301	50	5	3	0.014283882971732192
0.22894809965484936	0.2884272567014512	0.12686051796932965	0.06947055094738318	0.3201114798501673	20	3	1	0.01428993108577584
0.44657495989809104	0.11436796725444781	0.19000550479056563	0.24544229632745254	0.41349855279828995	80	1	3	0.014327677656974323
0.3177606906105611	0.06998988869915028	0.22900815410652406	0.07032798533041289	0.8694208998428612	50	5	1	0.014373915862778027
0.13943839108006154	0.029459294249507596	0.22904733466883406	0.15229653883951455	0.38409489196580493	50	5	3	0.014374659169006683
0.3229137632435431	0.024597102723162356	0.08452151459958962	0.27681284409532164	0.566153562001579	130	3	5	0.014385747149813487
0.21044918519684633	0.2988308378421151	0.0005030467145853312	0.1653921538000564	0.9909055217275341	130	3	2	0.014397302830848996
0.26367992778224103	0.2572203128059512	0.06806314902851898	0.026995763268848748	0.26024810700609236	20	3	5	0.014401298696517177
0.08287040512095405	0.23523417150215756	0.0862670956111798	0.44989438458614617	0.384831469474172	50	1	5	0.014403012851553054
0.16831262167741062	0.19199644873190108	0.2847396944408922	0.0857449748301107	0.9948248042018458	30	1	2	0.014406241859402293
0.2209787486582328	0.14064579558701834	0.3915319197341838	0.03268856268986028	0.3411551372684761	50	2	3	0.014410295847631994
0.29648047933496796	0.11448106391230799	0.23462512905681993	0.16207883341036278	0.6186760183067957	130	1	3	0.014436226628767075
0.3390383927085782	0.1506953537166818	0.21159635627539047	0.2319040370940432	0.9489700529891649	130	5	1	0.014443588268464534
0.31004187422879137	0.022816249287589283	0.29587130859802513	0.33574839580743665	0.9024924365975527	30	5	3	0.014478892023679354
0.07756526110142624	0.31451319780616926	0.3822933979898534	0.18760665758163156	0.5209124335629879	80	1	3	0.014480619360537237
0.03411719070463797	0.2495228968597682	0.39132678915934094	0.16491679367363393	0.41829707601624966	80	5	5	0.01451314708636096
0.23216952028309745	0.14232906249064523	0.43053849660726384	0.1500692640274365	0.3994609110830959	30	3	3	0.0145351430522133
0.19572930223582655	0.16829612233683405	0.25433911721501967	0.20110776963958824	0.4890768758454038	50	2	5	0.014541732386137382
0.20184718386642048	0.104235587018637	0.41141932448547464	0.15566388788180596	0.7846042790422948	50	1	5	0.014550877147416832
0.22438869124061359	0.16588166773053406	0.06667873267952347	0.2573926764748841	0.2643170997951034	30	3	5	0.014551834907023938
0.24778271039010585	0.12538191685432395	0.14104797857276835	0.19429787762535905	0.8182915964093541	50	2	1	0.014553397907476952
0.19680481967983446	0.3322434386360039	0.04290211051404882	0.15206781267950162	0.08115645606377697	130	1	3	0.01456663355659945
0.1550277782131061	0.0946798928061132	0.2969058085627209	0.2673083617415491	0.11137339307656247	20	1	3	0.014570487068792458
0.058634565477745024	0.30271279220368996	0.2599301487754685	0.1772721841519536	0.599396969377549	130	1	2	0.014601312747904166
0.2524626181219332	0.27304602877047957	0.3725823095504902	0.07646053306026386	0.8242574299839418	50	3	3	0.014615644005434794
0.17085140726422984	0.24642878533366586	0.1263753723394652	0.19694755393540156	0.5205598276906142	80	1	1	0.014626156930603026
0.0004924276096138909	0.22661706604044443	0.17569832289887982	0.29058210726165573	0.6567685850219063	130	1	3	0.014642350826716721
0.2043345158852143	0.24128723320443393	0.13007414598099618	0.2160988358155177	0.9026044563259863	20	1	3	0.014677017113386008
0.2675706282868939	0.10638192111034359	0.24094588693736677	0.2899636163474029	0.7683219579642596	50	3	2	0.014704022875684388
0.011480466901042985	0.1379474187415602	0.11222137454071086	0.355609894553785	0.09324731095235794	20	3	1	0.014705426514830658
0.0487188315362722	0.2990104276624332	0.16942780534165275	0.3066462362928709	0.8614862992115147	130	1	5	0.014766247865198411
0.346974957544608	0.037673064324402025	0.2992817691871455	0.05652254620079829	0.930241020863944	130	1	5	0.014808651048386723
0.35465382961757647	0.19805649532473882	0.20336029095503103	0.17447849288416542	0.03754044605849893	80	2	5	0.014815077132000264
0.16788387464149984	0.10165860271883537	0.07315846446802901	0.4026497821110344	0.6901326573152672	130	3	5	0.014828781061789458
0.1112100231322798	0.2768300452396382	0.17981117035590416	0.17179822288494342	0.8231718020278002	130	1	2	0.014833006275609064
0.2935006028144026	0.049038641008595375	0.08830921363844929	0.4816819630096876	0.48288685959422795	80	2	5	0.014849873181577244
0.07003101855434482	0.380441619152093	0.10765665422969946	0.028623071000642115	0.619321267692256	30	1	1	0.01486182170962957
0.23964994429234557	0.17363125624196782	0.2457222094735504	0.23616298514739645	0.12130420588331559	80	2	2	0.0148885647768718
0.23816823250060237	0.07079119597376174	0.24351873557116369	0.40850213459984275	0.6314992156534923	130	3	3	0.014890785817222592
0.09105949223079995	0.2189841608204868	0.10208645929362202	0.15406290073606144	0.15502066959558725	50	1	2	0.014915415677510762
0.16050013456992882	0.09026367099840528	0.2547461912519896	0.2966306668062544	0.6508478607608367	80	3	3	0.014924063792936324
0.2808479181396826	0.3706396317399582	0.11131870441493953	0.05490198204030801	0.29227081143849876	20	3	5	0.014929569695576274
0.156977106573451	0.12952525503720125	0.3504520072624402	0.2760814158909185	0.26920435051247216	20	3	2	0.014966081251251356
0.33410616893379247	0.11082561291940249	0.3159210123448401	0.11233285835787064	0.349219163913688	130	5	2	0.01497533705502636
0.27497394613073467	0.2792020996373509	0.3037990282535385	0.09389738544849922	0.19537142207921154	50	3	3	0.014976652497462243
0.09783434389093777	0.24772315652275523	0.24552544572632568	0.264247040645225	0.4805046980843837	30	3	3	0.015033010998421628
0.4122492812059004	0.1118501322377708	0.11317743362927363	0.33141253565402984	0.7763286005792798	80	1	2	0.015076545331867459
0.14915394886438862	0.002391695210554592	0.3755179479718507	0.23323489167369904	0.3024482862196589	20	5	3	0.01509342458115961
0.2529832958442715	0.48523729615931943	0.03213883548519905	0.11532205974596962	0.08705871777202057	130	2	2	0.015109007486078335
0.12028223060279877	0.2706434402890939	0.20893038643311124	0.06266524893936172	0.036680458774890234	30	1	1	0.015127663786080926
0.11246449117034672	0.2782616661693509	0.2750606988841051	0.23279363537222453	0.2634513430521247	50	3	2	0.015144394932094348
0.48653256726399946	0.024164668073813216	0.15885211540587585	0.17404305899072947	0.2687955693288617	130	1	2	0.015149234622016347
0.29717306583702985	0.2625340935672872	0.1401118320236461	0.11881952724364103	0.4760834031482708	80	5	5	0.015170475111481202
0.23511525115542925	0.1091189319593245	0.015911801612765245	0.1958603939450629	0.6219577504203727	80	5	3	0.015174605337790796
0.18184637653516952	0.20603509605173517	0.07484272757946338	0.1386836759262548	0.34105906815730824	30	1	5	0.015198398317051404
0.016698361262738836	0.3327915857551882	0.24662757871883678	0.23597980081046127	0.6111633949728561	20	1	3	0.01520363871606331
0.07265879702884316	0.37489117843659564	0.1377772980246755	0.3108351534179616	0.4359301947251404	80	5	3	0.015214059584603973
0.3251006038502482	0.13502671622113258	0.2859112965447812	0.08621570075281158	0.2736241939521099	130	1	5	0.015225127534472277
0.2833355391599879	0.10615136864956572	0.2494404359765014	0.2664581283900773	0.9757040785459021	50	1	3	0.015228677168391354
0.3697657335585175	0.05099192932170385	0.34447291956888126	0.1528934624775952	0.06419988853691683	80	2	5	0.015252868363955164
0.3366912536054265	0.013169455127384447	0.14481714905172818	0.11753198869169657	0.6766994874229113	130	1	5	0.015263349356528705
0.16923127329559304	0.1871142670939111	0.2800305015656894	0.14947045081962237	0.8783408818202447	80	5	5	0.015265805663043079
0.36610087089928606	0.03688031426195016	0.2712285880982849	0.16991504144306666	0.24128790841598668	20	1	1	0.015273185714112255
0.23207613561768842	0.25114452693242073	0.20377145060274898	0.19325387524202725	0.8903235325531715	20	3	1	0.015287455972731564
0.12813540755609812	0.005491174572013346	0.2009539472363293	0.35735833629791686	0.6338658027451068	80	3	5	0.015315266106359792
